-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   1 ;    1 ;   3 ;  82.00 ;  3 ; NE            ;    11101.1 ;   4382.0 ;   376.80 ;     0.00 ;  2269.30 ;     0.00 ;     0.00 ;     0.00 ;    4073.00 ;    -     ;    -     ;     0.00 ;   2240.0 ;      29982.15 ;    58.10 ;      30362.17 ;    58.84 ;  106.11 ;
   1 ;    1 ;  -  ;   -    ;  3 ; NE            ;    12079.3 ;   4382.0 ;   376.80 ;     0.00 ;  2895.19 ;     0.00 ;     0.00 ;     0.00 ;    4425.27 ;    -     ;    -     ;     0.00 ;   2240.0 ;      29982.15 ;    58.10 ;      30362.17 ;    58.84 ;  106.46 ;
   1 ;    1 ;   1 ;  40.00 ;  4 ; N             ;     5974.1 ;    490.0 ;   650.50 ;     0.00 ; 17833.60 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3208.0 ;       7224.82 ;    47.94 ;       8136.07 ;    53.98 ;    0.00 ;
   1 ;    1 ;   2 ;  46.00 ;  4 ; N             ;     5929.2 ;    490.0 ;   650.50 ;     0.00 ; 17788.70 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3208.0 ;       7224.82 ;    47.94 ;       8136.07 ;    53.98 ;    0.00 ;
   1 ;    1 ;   3 ;  82.00 ;  4 ; N             ;     5399.3 ;    490.0 ;   650.50 ;     0.00 ; 15958.80 ;     0.00 ;     0.00 ;     0.00 ;  -11700.00 ;    -     ;    -     ;     0.00 ;   3208.0 ;       7224.82 ;    47.94 ;       8136.07 ;    53.98 ;    0.00 ;
   1 ;    1 ;  -  ;   -    ;  4 ; N             ;     5681.2 ;    490.0 ;   650.50 ;     0.00 ; 16906.22 ;     0.00 ;     0.00 ;     0.00 ;  -12365.48 ;    -     ;    -     ;     0.00 ;   3208.0 ;       7224.82 ;    47.94 ;       8136.07 ;    53.98 ;    0.00 ;
   1 ;    1 ;   1 ;  40.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   1 ;    1 ;   2 ;  46.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   1 ;    1 ;   3 ;  82.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   1 ;    1 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
